ts,temp,rpm
1700000013,20.27,1700
1700000030,20.92,1698
1700000037,21.83,1695
1700000044,22.32,1688
1700000051,23.34,1680
1700000062,23.42,1669
1700000079,24.16,1657
1700000090,24.35,1642
1700000107,24.6,1626
1700000130,24.76,1608
1700000141,25.06,1588
1700000164,25.1,1568
1700000187,24.6,1547
1700000194,24.42,1525
1700000201,23.65,1503
1700000212,22.87,1481
1700000223,22.31,1459
1700000246,21.4,1438
1700000257,20.47,1417
1700000280,19.96,1398
1700000293,18.81,1379
1700000300,18.28,1362
1700000323,17.32,1347
1700000346,16.77,1334
1700000359,16.2,1323
1700000376,15.64,1314
1700000387,15.53,1307
1700000398,14.86,1303
1700000411,15.02,1301
1700000424,15.17,1301
1700000437,15.27,1304
1700000444,15.28,1310
1700000461,15.73,1317
1700000474,16.26,1327
1700000491,17.06,1340
1700000498,17.98,1354
1700000521,18.78,1370
1700000534,19.32,1387
1700000547,20.31,1406
1700000570,21.25,1426
