t,amplitude
0.00,0.0
0.01,0.7845
0.02,0.8817
0.03,0.5151
0.04,0.4755
0.05,1.0
0.06,1.4266
0.07,1.1029
0.08,0.2939
0.09,-0.1665
0.10,-0.0
0.11,0.1665
0.12,-0.2939
0.13,-1.1029
0.14,-1.4266
0.15,-1.0
0.16,-0.4755
0.17,-0.5151
0.18,-0.8817
0.19,-0.7845
0.20,-0.0
0.21,0.7845
0.22,0.8817
0.23,0.5151
0.24,0.4755
0.25,1.0
0.26,1.4266
0.27,1.1029
0.28,0.2939
0.29,-0.1665
0.30,-0.0
0.31,0.1665
0.32,-0.2939
0.33,-1.1029
0.34,-1.4266
0.35,-1.0
0.36,-0.4755
0.37,-0.5151
0.38,-0.8817
0.39,-0.7845
0.40,-0.0
0.41,0.7845
0.42,0.8817
0.43,0.5151
0.44,0.4755
0.45,1.0
0.46,1.4266
0.47,1.1029
0.48,0.2939
0.49,-0.1665
0.50,-0.0
0.51,0.1665
0.52,-0.2939
0.53,-1.1029
0.54,-1.4266
0.55,-1.0
0.56,-0.4755
0.57,-0.5151
0.58,-0.8817
0.59,-0.7845
0.60,-0.0
0.61,0.7845
0.62,0.8817
0.63,0.5151
0.64,0.4755
0.65,1.0
0.66,1.4266
0.67,1.1029
0.68,0.2939
0.69,-0.1665
0.70,-0.0
0.71,0.1665
0.72,-0.2939
0.73,-1.1029
0.74,-1.4266
0.75,-1.0
0.76,-0.4755
0.77,-0.5151
0.78,-0.8817
0.79,-0.7845
0.80,-0.0
0.81,0.7845
0.82,0.8817
0.83,0.5151
0.84,0.4755
0.85,1.0
0.86,1.4266
0.87,1.1029
0.88,0.2939
0.89,-0.1665
0.90,-0.0
0.91,0.1665
0.92,-0.2939
0.93,-1.1029
0.94,-1.4266
0.95,-1.0
0.96,-0.4755
0.97,-0.5151
0.98,-0.8817
0.99,-0.7845
1.00,-0.0
1.01,0.7845
1.02,0.8817
1.03,0.5151
1.04,0.4755
1.05,1.0
1.06,1.4266
1.07,1.1029
1.08,0.2939
1.09,-0.1665
1.10,0.0
1.11,0.1665
1.12,-0.2939
1.13,-1.1029
1.14,-1.4266
1.15,-1.0
1.16,-0.4755
1.17,-0.5151
1.18,-0.8817
1.19,-0.7845
1.20,-0.0
1.21,0.7845
1.22,0.8817
1.23,0.5151
1.24,0.4755
1.25,1.0
1.26,1.4266
1.27,1.1029
1.28,0.2939
1.29,-0.1665
1.30,0.0
1.31,0.1665
1.32,-0.2939
1.33,-1.1029
1.34,-1.4266
1.35,-1.0
1.36,-0.4755
1.37,-0.5151
1.38,-0.8817
1.39,-0.7845
1.40,-0.0
1.41,0.7845
1.42,0.8817
1.43,0.5151
1.44,0.4755
1.45,1.0
1.46,1.4266
1.47,1.1029
1.48,0.2939
1.49,-0.1665
1.50,-0.0
1.51,0.1665
1.52,-0.2939
1.53,-1.1029
1.54,-1.4266
1.55,-1.0
1.56,-0.4755
1.57,-0.5151
1.58,-0.8817
1.59,-0.7845
1.60,-0.0
1.61,0.7845
1.62,0.8817
1.63,0.5151
1.64,0.4755
1.65,1.0
1.66,1.4266
1.67,1.1029
1.68,0.2939
1.69,-0.1665
1.70,-0.0
1.71,0.1665
1.72,-0.2939
1.73,-1.1029
1.74,-1.4266
1.75,-1.0
1.76,-0.4755
1.77,-0.5151
1.78,-0.8817
1.79,-0.7845
1.80,-0.0
1.81,0.7845
1.82,0.8817
1.83,0.5151
1.84,0.4755
1.85,1.0
1.86,1.4266
1.87,1.1029
1.88,0.2939
1.89,-0.1665
1.90,-0.0
1.91,0.1665
1.92,-0.2939
1.93,-1.1029
1.94,-1.4266
1.95,-1.0
1.96,-0.4755
1.97,-0.5151
1.98,-0.8817
1.99,-0.7845
2.00,-0.0
2.01,0.7845
2.02,0.8817
2.03,0.5151
2.04,0.4755
2.05,1.0
2.06,1.4266
2.07,1.1029
2.08,0.2939
2.09,-0.1665
2.10,0.0
2.11,0.1665
2.12,-0.2939
2.13,-1.1029
2.14,-1.4266
2.15,-1.0
2.16,-0.4755
2.17,-0.5151
2.18,-0.8817
2.19,-0.7845
2.20,0.0
2.21,0.7845
2.22,0.8817
2.23,0.5151
2.24,0.4755
2.25,1.0
2.26,1.4266
2.27,1.1029
2.28,0.2939
2.29,-0.1665
2.30,-0.0
2.31,0.1665
2.32,-0.2939
2.33,-1.1029
2.34,-1.4266
2.35,-1.0
2.36,-0.4755
2.37,-0.5151
2.38,-0.8817
2.39,-0.7845
2.40,-0.0
2.41,0.7845
2.42,0.8817
2.43,0.5151
2.44,0.4755
2.45,1.0
2.46,1.4266
2.47,1.1029
2.48,0.2939
2.49,-0.1665
2.50,0.0
2.51,0.1665
2.52,-0.2939
2.53,-1.1029
2.54,-1.4266
2.55,-1.0
